"","company","tickers","SEC.filings","GICS.Sector","GICS.Sub.Industry","Address","Date.first.added","CIK","Founded"
"294","LEN","Lennar Corp.","reports","Consumer Discretionary","Homebuilding","Miami, Florida","2005-10-04",920760,""
"295","LLY","Lilly (Eli) & Co.","reports","Health Care","Pharmaceuticals","Indianapolis, Indiana","1970-12-31",59478,"1876"
"296","LNC","Lincoln National","reports","Financials","Multi-line Insurance","Radnor, Pennsylvania","1976-06-30",59558,""
"297","LIN","Linde plc","reports","Materials","Industrial Gases","Guildford, Surrey, United Kingdom","1992-07-01",1707925,""
"298","LKQ","LKQ Corporation","reports","Consumer Discretionary","Distributors","Chicago, Illinois","2016-05-23",1065696,""
"299","LMT","Lockheed Martin Corp.","reports","Industrials","Aerospace & Defense","Bethesda, Maryland","1984-07-31",936468,""
"300","L","Loews Corp.","reports","Financials","Multi-line Insurance","New York, New York","",60086,""
"301","LOW","Lowe's Cos.","reports","Consumer Discretionary","Home Improvement Retail","Mooresville, North Carolina","1984-02-29",60667,"1904/1946/1959"
"302","LYB","LyondellBasell","reports","Materials","Specialty Chemicals","Rotterdam, Netherlands","2012-09-05",1489393,""
"303","MTB","M&T Bank Corp.","reports","Financials","Regional Banks","Buffalo, New York","",36270,"1856"
"304","MAC","Macerich","reports","Real Estate","Retail REITs","Santa Monica, California","2013-05-09",912242,""
"305","M","Macy's Inc.","reports","Consumer Discretionary","Department Stores","Cincinnati, Ohio","",794367,"1929"
"306","MRO","Marathon Oil Corp.","reports","Energy","Oil & Gas Exploration & Production","Houston, Texas","1991-05-01",101778,""
"307","MPC","Marathon Petroleum","reports","Energy","Oil & Gas Refining & Marketing","Findlay, Ohio","2011-07-01",1510295,""
"308","MKTX","MarketAxess","reports","Financials","Financial Exchanges & Data","New York, New York","2019-07-01",1278021,""
"309","MAR","Marriott Int'l.","reports","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Bethesda, Maryland","",1048286,"1927"
"310","MMC","Marsh & McLennan","reports","Financials","Insurance Brokers","New York, New York","1987-08-31",62709,""
"311","MLM","Martin Marietta Materials","reports","Materials","Construction Materials","Raleigh, North Carolina","2014-07-02",916076,""
"312","MAS","Masco Corp.","reports","Industrials","Building Products","Taylor, Michigan","1981-06-30",62996,""
"313","MA","Mastercard Inc.","reports","Information Technology","IT Services","Harrison, New York","2008-07-18",1141391,""
"314","MKC","McCormick & Co.","reports","Consumer Staples","Packaged Foods & Meats","Sparks, Maryland","",63754,"1889"
"315","MXIM","Maxim Integrated Products Inc","reports","Information Technology","Semiconductors","San Jose, California","2018-12-03",743316,"1983"
"316","MCD","McDonald's Corp.","reports","Consumer Discretionary","Restaurants","Chicago, Illinois","1970-06-30",63908,"1940"
"317","MCK","McKesson Corp.","reports","Health Care","Health Care Distributors","San Francisco, California","",927653,"1833"
"318","MDT","Medtronic plc","reports","Health Care","Health Care Equipment","Dublin, Ireland","1986-10-31",1613103,""
"319","MRK","Merck & Co.","reports","Health Care","Pharmaceuticals","Whitehouse Station, New Jersey","",310158,"1891"
"320","MET","MetLife Inc.","reports","Financials","Life & Health Insurance","New York, New York","",1099219,"1868"
"321","MTD","Mettler Toledo","reports","Health Care","Life Sciences Tools & Services","Columbus, Ohio","2016-09-06",1037646,""
"322","MGM","MGM Resorts International","reports","Consumer Discretionary","Casinos & Gaming","Paradise, Nevada","2017-07-26",789570,""
"323","MCHP","Microchip Technology","reports","Information Technology","Semiconductors","Chandler, Arizona","2007-09-07",827054,""
"324","MU","Micron Technology","reports","Information Technology","Semiconductors","Boise, Idaho","1994-09-27",723125,""
"325","MSFT","Microsoft Corp.","reports","Information Technology","Systems Software","Redmond, Washington","1994-06-01",789019,"1975"
"326","MAA","Mid-America Apartments","reports","Real Estate","Residential REITs","Memphis, Tennessee","2016-12-02",912595,""
"327","MHK","Mohawk Industries","reports","Consumer Discretionary","Home Furnishings","Amsterdam, New York","2013-12-23",851968,""
"328","TAP","Molson Coors Brewing Company","reports","Consumer Staples","Brewers","Denver, Colorado","1976-06-30",24545,""
"329","MDLZ","Mondelez International","reports","Consumer Staples","Packaged Foods & Meats","Deerfield, Illinois","2012-10-02",1103982,""
"330","MNST","Monster Beverage","reports","Consumer Staples","Soft Drinks","Corona, California","2012-06-28",865752,""
"331","MCO","Moody's Corp","reports","Financials","Financial Exchanges & Data","New York, New York","",1059556,"1909"
"332","MS","Morgan Stanley","reports","Financials","Investment Banking & Brokerage","New York, New York","",895421,"1935"
"333","MOS","The Mosaic Company","reports","Materials","Fertilizers & Agricultural Chemicals","Plymouth, Minnesota","2011-09-26",1285785,""
"334","MSI","Motorola Solutions Inc.","reports","Information Technology","Communications Equipment","Schaumburg, Illinois","",68505,"1928 (2011)"
"335","MSCI","MSCI Inc","reports","Financials","Financial Exchanges & Data","New York, New York","2018-04-04",1408198,""
"336","MYL","Mylan N.V.","reports","Health Care","Pharmaceuticals","Amsterdam, Netherlands","2004-04-23",1623613,""
"337","NDAQ","Nasdaq, Inc.","reports","Financials","Financial Exchanges & Data","New York, New York","2008-10-22",1120193,""
"338","NOV","National Oilwell Varco Inc.","reports","Energy","Oil & Gas Equipment & Services","Houston, Texas","2005-03-14",1021860,""
"339","NKTR","Nektar Therapeutics","reports","Health Care","Pharmaceuticals","San Francisco, California","2018-03-19",906709,""
"340","NTAP","NetApp","reports","Information Technology","Internet Software & Services","Sunnyvale, California","1999-06-25",1002047,""
"341","NFLX","Netflix Inc.","reports","Communication Services","Movies & Entertainment","Los Gatos, California","2010-12-20",1065280,"1997"
"342","NWL","Newell Brands","reports","Consumer Discretionary","Housewares & Specialties","Hoboken, New Jersey","1989-04-30",814453,""
"343","NEM","Newmont Goldcorp","reports","Materials","Gold","Denver, Colorado","1969-06-30",1164727,"1921"
"344","NWSA","News Corp. Class A","reports","Communication Services","Publishing","New York, New York","2013-08-01",1564708,""
"345","NWS","News Corp. Class B","reports","Communication Services","Publishing","New York, New York","2015-09-18",1564708,""
"346","NEE","NextEra Energy","reports","Utilities","Multi-Utilities","Juno Beach, Florida","1976-06-30",753308,""
