"","company","tickers","SEC.filings","GICS.Sector","GICS.Sub.Industry","Address","Date.first.added","CIK","Founded"
"1","MMM","3M Company","reports","Industrials","Industrial Conglomerates","St. Paul, Minnesota","",66740,"1902"
"2","ABT","Abbott Laboratories","reports","Health Care","Health Care Equipment","North Chicago, Illinois","1964-03-31",1800,"1888"
"3","ABBV","AbbVie Inc.","reports","Health Care","Pharmaceuticals","North Chicago, Illinois","2012-12-31",1551152,"2013 (1888)"
"4","ABMD","ABIOMED Inc","reports","Health Care","Health Care Equipment","Danvers, Massachusetts","2018-05-31",815094,"1981"
"5","ACN","Accenture plc","reports","Information Technology","IT Consulting & Other Services","Dublin, Ireland","2011-07-06",1467373,"1989"
"6","ATVI","Activision Blizzard","reports","Communication Services","Interactive Home Entertainment","Santa Monica, California","2015-08-31",718877,"2008"
"7","ADBE","Adobe Systems Inc","reports","Information Technology","Application Software","San Jose, California","1997-05-05",796343,"1982"
"8","AMD","Advanced Micro Devices Inc","reports","Information Technology","Semiconductors","Sunnyvale, California","2017-03-20",2488,"1969"
"9","AAP","Advance Auto Parts","reports","Consumer Discretionary","Automotive Retail","Raleigh, North Carolina","2015-07-09",1158449,"1932"
"10","AES","AES Corp","reports","Utilities","Independent Power Producers & Energy Traders","Arlington, Virginia","1998-10-02",874761,"1981"
"11","AMG","Affiliated Managers Group Inc","reports","Financials","Asset Management & Custody Banks","West Palm Beach, Florida","2014-07-01",1004434,"1993"
"12","AFL","AFLAC Inc","reports","Financials","Life & Health Insurance","Columbus, Georgia","1999-05-28",4977,"1955"
"13","A","Agilent Technologies Inc","reports","Health Care","Health Care Equipment","Santa Clara, California","2000-06-05",1090872,"1999"
"14","APD","Air Products & Chemicals Inc","reports","Materials","Industrial Gases","Allentown, Pennsylvania","1985-04-30",2969,"1940"
"15","AKAM","Akamai Technologies Inc","reports","Information Technology","Internet Services & Infrastructure","Cambridge, Massachusetts","2007-07-12",1086222,"1998"
"16","ALK","Alaska Air Group Inc","reports","Industrials","Airlines","Seattle, Washington","2016-05-13",766421,"1985"
"17","ALB","Albemarle Corp","reports","Materials","Specialty Chemicals","Charlotte, North Carolina","2016-07-01",915913,"1994"
"18","ARE","Alexandria Real Estate Equities","reports","Real Estate","Office REITs","Pasadena, California","2017-03-20",1035443,"1994"
"19","ALXN","Alexion Pharmaceuticals","reports","Health Care","Biotechnology","Boston, Massachusetts","2012-05-25",899866,"1992"
"20","ALGN","Align Technology","reports","Health Care","Health Care Supplies","San Jose, California","2017-06-19",1097149,"1997"
"21","ALLE","Allegion","reports","Industrials","Building Products","Dublin, Ireland","2013-12-02",1579241,"1908"
"22","AGN","Allergan, Plc","reports","Health Care","Pharmaceuticals","Dublin, Ireland","1999-04-12",1578845,"1983"
"23","ADS","Alliance Data Systems","reports","Information Technology","Data Processing & Outsourced Services","Plano, Texas","2013-12-23",1101215,"1996"
"24","LNT","Alliant Energy Corp","reports","Utilities","Electric Utilities","Madison, Wisconsin","2016-07-01",352541,"1917"
"25","ALL","Allstate Corp","reports","Financials","Property & Casualty Insurance","Northfield Township, Illinois","1995-07-13",899051,"1931"
"26","GOOGL","Alphabet Inc Class A","reports","Communication Services","Interactive Media & Services","Mountain View, California","2014-04-03",1652044,"1998"
"27","GOOG","Alphabet Inc Class C","reports","Communication Services","Interactive Media & Services","Mountain View, California","2006-04-03",1652044,"1998"
"28","MO","Altria Group Inc","reports","Consumer Staples","Tobacco","Richmond, Virginia","",764180,"1985"
"29","AMZN","Amazon.com Inc.","reports","Consumer Discretionary","Internet & Direct Marketing Retail","Seattle, Washington","2005-11-18",1018724,"1994"
"30","AMCR","Amcor plc","reports","Materials","Paper Packaging","Warmley, Bristol, United Kingdom","2019-06-07",1748790,""
"31","AEE","Ameren Corp","reports","Utilities","Multi-Utilities","St. Louis, Missouri","1991-09-19",1002910,"1902"
"32","AAL","American Airlines Group","reports","Industrials","Airlines","Fort Worth, Texas","2015-03-23",6201,"1934"
"33","AEP","American Electric Power","reports","Utilities","Electric Utilities","Columbus, Ohio","",4904,"1906"
"34","AXP","American Express Co","reports","Financials","Consumer Finance","New York, New York","1976-06-30",4962,"1850"
"35","AIG","American International Group","reports","Financials","Property & Casualty Insurance","New York, New York","1980-03-31",5272,"1919"
"36","AMT","American Tower Corp.","reports","Real Estate","Specialized REITs","Boston, Massachusetts","2007-11-19",1053507,"1995"
"37","AWK","American Water Works Company Inc","reports","Utilities","Water Utilities","Voorhees, New Jersey","2016-03-04",1410636,"1886"
"38","AMP","Ameriprise Financial","reports","Financials","Asset Management & Custody Banks","Minneapolis, Minnesota","2005-10-03",820027,"1894"
"39","ABC","AmerisourceBergen Corp","reports","Health Care","Health Care Distributors","Chesterbrook, Pennsylvania","2001-08-30",1140859,"1985"
"40","AME","AMETEK Inc.","reports","Industrials","Electrical Components & Equipment","Berwyn, Pennsylvania","2013-09-23",1037868,"1930"
"41","AMGN","Amgen Inc.","reports","Health Care","Biotechnology","Thousand Oaks, California","1992-01-02",318154,"1980"
"42","APH","Amphenol Corp","reports","Information Technology","Electronic Components","Wallingford, Connecticut","2008-09-30",820313,"1932"
"43","APC","Anadarko Petroleum Corp","reports","Energy","Oil & Gas Exploration & Production","The Woodlands, Texas","1997-07-28",773910,"1959"
"44","ADI","Analog Devices, Inc.","reports","Information Technology","Semiconductors","Norwood, Massachusetts","1999-10-12",6281,"1965"
"45","ANSS","ANSYS","reports","Information Technology","Application Software","Canonsburg, Pennsylvania","2017-06-19",1013462,"1969"
"46","ANTM","Anthem","reports","Health Care","Managed Health Care","Indianapolis, Indiana","2002-07-25",1156039,"2014 (1940s)"
"47","AON","Aon plc","reports","Financials","Insurance Brokers","London, United Kingdom","1996-04-23",315293,"1982 (1919)"
"48","AOS","A.O. Smith Corp","reports","Industrials","Building Products","Milwaukee, Wisconsin","2017-07-26",91142,"1916"
"49","APA","Apache Corporation","reports","Energy","Oil & Gas Exploration & Production","Houston, Texas","1997-07-28",6769,"1954"
"50","AIV","Apartment Investment & Management","reports","Real Estate","Residential REITs","Denver, Colorado","2003-03-14",922864,"1994 (1975)"
"51","AAPL","Apple Inc.","reports","Information Technology","Technology Hardware, Storage & Peripherals","Cupertino, California","1982-11-30",320193,"1977"
"52","AMAT","Applied Materials Inc.","reports","Information Technology","Semiconductor Equipment","Santa Clara, California","1995-03-16",6951,"1967"
"53","APTV","Aptiv Plc","reports","Consumer Discretionary","Auto Parts & Equipment","Gillingham, Kent, United Kingdom","2012-12-24",1521332,"1994"
"54","ADM","Archer-Daniels-Midland Co","reports","Consumer Staples","Agricultural Products","Chicago, Illinois","1981-07-29",7084,"1902"
"55","ARNC","Arconic Inc.","reports","Industrials","Aerospace & Defense","New York, New York","1964-03-31",4281,"2016"
"56","ANET","Arista Networks","reports","Information Technology","Communications Equipment","Santa Clara, California","2018-08-28",1596532,"2004"
"57","AJG","Arthur J. Gallagher & Co.","reports","Financials","Insurance Brokers","Itasca, Illinois","2016-05-31",354190,""
"58","AIZ","Assurant","reports","Financials","Multi-line Insurance","New York, New York","2007-04-10",1267238,""
"59","ATO","Atmos Energy Corp","reports","Utilities","Gas Utilities","Dallas, Texas","2019-02-15",731802,"1906"
"60","T","AT&T Inc.","reports","Communication Services","Integrated Telecommunication Services","Dallas, Texas","1983-11-30",732717,"1983"
"61","ADSK","Autodesk Inc.","reports","Information Technology","Application Software","San Rafael, California","1989-12-01",769397,""
"62","ADP","Automatic Data Processing","reports","Information Technology","Internet Services & Infrastructure","Roseland, New Jersey","1981-03-31",8670,""
"63","AZO","AutoZone Inc","reports","Consumer Discretionary","Specialty Stores","Memphis, Tennessee","1997-01-02",866787,""
"64","AVB","AvalonBay Communities, Inc.","reports","Real Estate","Residential REITs","Arlington, Virginia[3]","2007-01-10",915912,""
"65","AVY","Avery Dennison Corp","reports","Materials","Paper Packaging","Glendale, California","1987-12-31",8818,""
"66","BHGE","Baker Hughes, a GE Company","reports","Energy","Oil & Gas Equipment & Services","Houston, Texas","",1701605,"2017"
"67","BLL","Ball Corp","reports","Materials","Metal & Glass Containers","Broomfield, Colorado","1984-10-31",9389,""
"68","BAC","Bank of America Corp","reports","Financials","Diversified Banks","Charlotte, North Carolina","1976-06-30",70858,""
"69","BK","The Bank of New York Mellon Corp.","reports","Financials","Asset Management & Custody Banks","New York, New York","1995-03-31",1390777,""
"70","BAX","Baxter International Inc.","reports","Health Care","Health Care Equipment","Deerfield, Illinois","1972-09-30",10456,"1931"
"71","BBT","BB&T Corporation","reports","Financials","Regional Banks","Winston-Salem, North Carolina","1997-12-04",92230,""
"72","BDX","Becton Dickinson","reports","Health Care","Health Care Equipment","Franklin Lakes, New Jersey","1972-09-30",10795,"1897"
"73","BRK.B","Berkshire Hathaway","reports","Financials","Multi-Sector Holdings","Omaha, Nebraska","2010-02-16",1067983,""
"74","BBY","Best Buy Co. Inc.","reports","Consumer Discretionary","Computer & Electronics Retail","Richfield, Minnesota","1999-06-29",764478,""
"75","BIIB","Biogen Inc.","reports","Health Care","Biotechnology","Cambridge, Massachusetts","2003-11-13",875045,""
"76","BLK","BlackRock","reports","Financials","Asset Management & Custody Banks","New York, New York","2011-04-04",1364742,""
"77","HRB","Block H&R","reports","Consumer Discretionary","Specialized Consumer Services","Kansas City, Missouri","1986-11-30",12659,""
"78","BA","Boeing Company","reports","Industrials","Aerospace & Defense","Chicago, Illinois","",12927,"1916"
"79","BKNG","Booking Holdings Inc","reports","Consumer Discretionary","Internet & Direct Marketing Retail","Norwalk, Connecticut","2009-11-06",1075531,""
"80","BWA","BorgWarner","reports","Consumer Discretionary","Auto Parts & Equipment","Auburn Hills, Michigan","2011-12-19",908255,""
"81","BXP","Boston Properties","reports","Real Estate","Office REITs","Boston, Massachusetts","2006-04-03",1037540,""
"82","BSX","Boston Scientific","reports","Health Care","Health Care Equipment","Marlborough, Massachusetts[4]","1995-02-24",885725,""
"83","BMY","Bristol-Myers Squibb","reports","Health Care","Health Care Distributors","New York, New York","",14272,"1989"
"84","AVGO","Broadcom Inc.","reports","Information Technology","Semiconductors","San Jose, California","2014-05-08",1730168,""
"85","BR","Broadridge Financial Solutions","reports","Information Technology","Data Processing & Outsourced Services","Lake Success, New York","2018-06-18",1383312,"1962"
"86","BF.B","Brown-Forman Corp.","reports","Consumer Staples","Distillers & Vintners","Louisville, Kentucky","1982-10-31",14693,""
"87","CHRW","C. H. Robinson Worldwide","reports","Industrials","Air Freight & Logistics","Eden Prairie, Minnesota","2007-03-02",1043277,""
"88","COG","Cabot Oil & Gas","reports","Energy","Oil & Gas Exploration & Production","Houston, Texas","2008-06-23",858470,""
"89","CDNS","Cadence Design Systems","reports","Information Technology","Application Software","San Jose, California","2017-09-18",813672,""
"90","CPB","Campbell Soup","reports","Consumer Staples","Packaged Foods & Meats","Camden, New Jersey","",16732,"1869"
"91","COF","Capital One Financial","reports","Financials","Consumer Finance","Tysons Corner, Virginia","1998-07-01",927628,"1935"
"92","CPRI","Capri Holdings","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York, New York","2013-11-13",1530721,""
"93","CAH","Cardinal Health Inc.","reports","Health Care","Health Care Distributors","Dublin, Ohio","1997-05-27",721371,""
"94","KMX","Carmax Inc","reports","Consumer Discretionary","Specialty Stores","Richmond, Virginia","2010-06-28",1170010,""
"95","CCL","Carnival Corp.","reports","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida","1998-12-22",815097,""
"96","CAT","Caterpillar Inc.","reports","Industrials","Construction Machinery & Heavy Trucks","Deerfield, Illinois","",18230,"1925"
"97","CBOE","Cboe Global Markets","reports","Financials","Financial Exchanges & Data","Chicago, Illinois","2017-03-01",1374310,""
"98","CBRE","CBRE Group","reports","Real Estate","Real Estate Services","Los Angeles, California","2006-11-10",1138118,""
"99","CBS","CBS Corp.","reports","Communication Services","Broadcasting","New York, New York","1994-09-01",813828,"2006"
"100","CE","Celanese","reports","Materials","Specialty Chemicals","Irving, Texas","2018-12-24",1306830,""
"101","CELG","Celgene Corp.","reports","Health Care","Biotechnology","Summit, New Jersey","2006-11-06",816284,""
"102","CNC","Centene Corporation","reports","Health Care","Managed Health Care","St Louis, Missouri","2016-03-30",1071739,""
"103","CNP","CenterPoint Energy","reports","Utilities","Multi-Utilities","Houston, Texas","1985-07-31",1130310,""
"104","CTL","CenturyLink Inc","reports","Communication Services","Integrated Telecommunication Services","Monroe, Louisiana","1999-03-25",18926,""
"105","CERN","Cerner","reports","Health Care","Health Care Technology","North Kansas City, Missouri","2010-04-30",804753,""
"106","CF","CF Industries Holdings Inc","reports","Materials","Fertilizers & Agricultural Chemicals","Deerfield, Illinois","2008-08-27",1324404,""
"107","SCHW","Charles Schwab Corporation","reports","Financials","Investment Banking & Brokerage","San Francisco, California","1997-06-02",316709,""
"108","CHTR","Charter Communications","reports","Communication Services","Cable & Satellite","Stamford, Connecticut","2016-09-08",1091667,""
"109","CVX","Chevron Corp.","reports","Energy","Integrated Oil & Gas","San Ramon, California","",93410,"1879"
